client_id;nom;prenom;mail;tel;;INSERT INTO t_client (client_id, nom, prenom, mail, tel)
177;Girard;Chloé;chloé.girard@example.ch;+41 79 332 56 32;;"VALUE ('177','Girard','Chloé','chloé.girard@example.ch', '+41 79 332 56 32');"
178;Durand;Zoé;zoé.durand@example.ch;+41 79 825 78 26;;"VALUE ('178','Durand','Zoé','zoé.durand@example.ch', '+41 79 825 78 26');"
179;Martin;Luca;luca.martin@example.ch;+41 79 155 80 47;;"VALUE ('179','Martin','Luca','luca.martin@example.ch', '+41 79 155 80 47');"
180;Perrin;Emma;emma.perrin@example.ch;+41 79 205 11 83;;"VALUE ('180','Perrin','Emma','emma.perrin@example.ch', '+41 79 205 11 83');"
181;Perrin;Zoé;zoé.perrin@example.ch;+41 79 590 66 53;;"VALUE ('181','Perrin','Zoé','zoé.perrin@example.ch', '+41 79 590 66 53');"
182;Martin;Leo;leo.martin@example.ch;+41 79 358 71 24;;"VALUE ('182','Martin','Leo','leo.martin@example.ch', '+41 79 358 71 24');"
183;Rey;Mia;mia.rey@example.ch;+41 79 603 19 83;;"VALUE ('183','Rey','Mia','mia.rey@example.ch', '+41 79 603 19 83');"
184;Rossi;Noah;noah.rossi@example.ch;+41 79 252 82 48;;"VALUE ('184','Rossi','Noah','noah.rossi@example.ch', '+41 79 252 82 48');"
185;Mercier;Mia;mia.mercier@example.ch;+41 79 221 81 63;;"VALUE ('185','Mercier','Mia','mia.mercier@example.ch', '+41 79 221 81 63');"
186;Berset;Lina;lina.berset@example.ch;+41 79 909 89 38;;"VALUE ('186','Berset','Lina','lina.berset@example.ch', '+41 79 909 89 38');"
187;Rey;Arthur;arthur.rey@example.ch;+41 79 561 66 48;;"VALUE ('187','Rey','Arthur','arthur.rey@example.ch', '+41 79 561 66 48');"
188;Berger;Camille;camille.berger@example.ch;+41 79 412 82 89;;"VALUE ('188','Berger','Camille','camille.berger@example.ch', '+41 79 412 82 89');"
189;Berset;Noah;noah.berset@example.ch;+41 79 857 22 36;;"VALUE ('189','Berset','Noah','noah.berset@example.ch', '+41 79 857 22 36');"
190;Schmid;Chloé;chloé.schmid@example.ch;+41 79 776 20 30;;"VALUE ('190','Schmid','Chloé','chloé.schmid@example.ch', '+41 79 776 20 30');"
191;Dubois;Ethan;ethan.dubois@example.ch;+41 79 665 19 30;;"VALUE ('191','Dubois','Ethan','ethan.dubois@example.ch', '+41 79 665 19 30');"
192;Berger;Léa;léa.berger@example.ch;+41 79 561 98 86;;"VALUE ('192','Berger','Léa','léa.berger@example.ch', '+41 79 561 98 86');"
193;Girard;Gabriel;gabriel.girard@example.ch;+41 79 133 39 46;;"VALUE ('193','Girard','Gabriel','gabriel.girard@example.ch', '+41 79 133 39 46');"
194;Richard;Zoé;zoé.richard@example.ch;+41 79 172 97 39;;"VALUE ('194','Richard','Zoé','zoé.richard@example.ch', '+41 79 172 97 39');"
195;Fischer;Luca;luca.fischer@example.ch;+41 79 777 35 64;;"VALUE ('195','Fischer','Luca','luca.fischer@example.ch', '+41 79 777 35 64');"
196;Meyer;Liam;liam.meyer@example.ch;+41 79 330 92 29;;"VALUE ('196','Meyer','Liam','liam.meyer@example.ch', '+41 79 330 92 29');"
197;Rossi;Luca;luca.rossi@example.ch;+41 79 173 17 31;;"VALUE ('197','Rossi','Luca','luca.rossi@example.ch', '+41 79 173 17 31');"
198;Berset;Zoé;zoé.berset@example.ch;+41 79 866 82 46;;"VALUE ('198','Berset','Zoé','zoé.berset@example.ch', '+41 79 866 82 46');"
199;Favre;Sofia;sofia.favre@example.ch;+41 79 579 98 48;;"VALUE ('199','Favre','Sofia','sofia.favre@example.ch', '+41 79 579 98 48');"
200;Schmid;Léna;léna.schmid@example.ch;+41 79 612 79 73;;"VALUE ('200','Schmid','Léna','léna.schmid@example.ch', '+41 79 612 79 73');"
201;Morel;Sofia;sofia.morel@example.ch;+41 79 712 15 65;;"VALUE ('201','Morel','Sofia','sofia.morel@example.ch', '+41 79 712 15 65');"
202;Berset;Nina;nina.berset@example.ch;+41 79 356 13 21;;"VALUE ('202','Berset','Nina','nina.berset@example.ch', '+41 79 356 13 21');"
203;Fischer;Ethan;ethan.fischer@example.ch;+41 79 701 12 96;;"VALUE ('203','Fischer','Ethan','ethan.fischer@example.ch', '+41 79 701 12 96');"
204;Fischer;Luca;luca.fischer@example.ch;+41 79 141 32 70;;"VALUE ('204','Fischer','Luca','luca.fischer@example.ch', '+41 79 141 32 70');"
205;Richard;Arthur;arthur.richard@example.ch;+41 79 384 33 84;;"VALUE ('205','Richard','Arthur','arthur.richard@example.ch', '+41 79 384 33 84');"
206;Perrin;Elya;elya.perrin@example.ch;+41 79 193 70 54;;"VALUE ('206','Perrin','Elya','elya.perrin@example.ch', '+41 79 193 70 54');"
207;Lambert;Elya;elya.lambert@example.ch;+41 79 428 95 23;;"VALUE ('207','Lambert','Elya','elya.lambert@example.ch', '+41 79 428 95 23');"
208;Lambert;Leo;leo.lambert@example.ch;+41 79 521 98 73;;"VALUE ('208','Lambert','Leo','leo.lambert@example.ch', '+41 79 521 98 73');"
209;Rey;Zoé;zoé.rey@example.ch;+41 79 933 80 14;;"VALUE ('209','Rey','Zoé','zoé.rey@example.ch', '+41 79 933 80 14');"
210;Morel;Sofia;sofia.morel@example.ch;+41 79 422 42 51;;"VALUE ('210','Morel','Sofia','sofia.morel@example.ch', '+41 79 422 42 51');"
211;Rey;Liam;liam.rey@example.ch;+41 79 985 75 10;;"VALUE ('211','Rey','Liam','liam.rey@example.ch', '+41 79 985 75 10');"
212;Richard;Tom;tom.richard@example.ch;+41 79 523 16 34;;"VALUE ('212','Richard','Tom','tom.richard@example.ch', '+41 79 523 16 34');"
213;Favrod;Arthur;arthur.favrod@example.ch;+41 79 737 73 90;;"VALUE ('213','Favrod','Arthur','arthur.favrod@example.ch', '+41 79 737 73 90');"
214;Martin;Sofia;sofia.martin@example.ch;+41 79 308 44 80;;"VALUE ('214','Martin','Sofia','sofia.martin@example.ch', '+41 79 308 44 80');"
215;Girard;Emma;emma.girard@example.ch;+41 79 548 99 72;;"VALUE ('215','Girard','Emma','emma.girard@example.ch', '+41 79 548 99 72');"
216;Durand;Liam;liam.durand@example.ch;+41 79 745 87 40;;"VALUE ('216','Durand','Liam','liam.durand@example.ch', '+41 79 745 87 40');"
217;Girard;Leo;leo.girard@example.ch;+41 79 664 11 80;;"VALUE ('217','Girard','Leo','leo.girard@example.ch', '+41 79 664 11 80');"
218;Morel;Elya;elya.morel@example.ch;+41 79 330 24 69;;"VALUE ('218','Morel','Elya','elya.morel@example.ch', '+41 79 330 24 69');"
219;Rossi;Liam;liam.rossi@example.ch;+41 79 610 47 75;;"VALUE ('219','Rossi','Liam','liam.rossi@example.ch', '+41 79 610 47 75');"
220;Berger;Luca;luca.berger@example.ch;+41 79 954 71 70;;"VALUE ('220','Berger','Luca','luca.berger@example.ch', '+41 79 954 71 70');"
